"time","Â°C.mean_value"
"2023-10-01T10:12:00.000+04:00",
"2023-10-01T20:16:00.000+04:00",
"2023-10-02T06:20:00.000+04:00",
"2023-10-02T16:24:00.000+04:00",
"2023-10-03T02:28:00.000+04:00",
"2023-10-03T12:32:00.000+04:00",
"2023-10-03T22:36:00.000+04:00",
"2023-10-04T08:40:00.000+04:00",
"2023-10-04T18:44:00.000+04:00",
"2023-10-05T04:48:00.000+04:00",
"2023-10-05T14:52:00.000+04:00",
"2023-10-06T00:56:00.000+04:00",
"2023-10-06T11:00:00.000+04:00",
"2023-10-06T21:04:00.000+04:00",
"2023-10-07T07:08:00.000+04:00",
"2023-10-07T17:12:00.000+04:00",
"2023-10-08T03:16:00.000+04:00",
"2023-10-08T13:20:00.000+04:00",
"2023-10-08T23:24:00.000+04:00",
"2023-10-09T09:28:00.000+04:00",
"2023-10-09T19:32:00.000+04:00",
"2023-10-10T05:36:00.000+04:00",
"2023-10-10T15:40:00.000+04:00",
"2023-10-11T01:44:00.000+04:00",
"2023-10-11T11:48:00.000+04:00",
"2023-10-11T21:52:00.000+04:00",
"2023-10-12T07:56:00.000+04:00",
"2023-10-12T18:00:00.000+04:00",
"2023-10-13T04:04:00.000+04:00",
"2023-10-13T14:08:00.000+04:00",
"2023-10-14T00:12:00.000+04:00",
"2023-10-14T10:16:00.000+04:00",
"2023-10-14T20:20:00.000+04:00",
"2023-10-15T06:24:00.000+04:00",
"2023-10-15T16:28:00.000+04:00",
"2023-10-16T02:32:00.000+04:00",
"2023-10-16T12:36:00.000+04:00",
"2023-10-16T22:40:00.000+04:00",
"2023-10-17T08:44:00.000+04:00",
"2023-10-17T18:48:00.000+04:00",
"2023-10-18T04:52:00.000+04:00",
"2023-10-18T14:56:00.000+04:00",
"2023-10-19T01:00:00.000+04:00",
"2023-10-19T11:04:00.000+04:00",
"2023-10-19T21:08:00.000+04:00",
"2023-10-20T07:12:00.000+04:00",
"2023-10-20T17:16:00.000+04:00",
"2023-10-21T03:20:00.000+04:00",
"2023-10-21T13:24:00.000+04:00",
"2023-10-21T23:28:00.000+04:00",
"2023-10-22T09:32:00.000+04:00",
"2023-10-22T19:36:00.000+04:00",
"2023-10-23T05:40:00.000+04:00",
"2023-10-23T15:44:00.000+04:00",
"2023-10-24T01:48:00.000+04:00",
"2023-10-24T11:52:00.000+04:00",
"2023-10-24T21:56:00.000+04:00",
"2023-10-25T08:00:00.000+04:00",
"2023-10-25T18:04:00.000+04:00",
"2023-10-26T04:08:00.000+04:00",
"2023-10-26T14:12:00.000+04:00",
"2023-10-27T00:16:00.000+04:00",
"2023-10-27T10:20:00.000+04:00",
"2023-10-27T20:24:00.000+04:00",
"2023-10-28T06:28:00.000+04:00",
"2023-10-28T16:32:00.000+04:00",
"2023-10-29T02:36:00.000+04:00",
"2023-10-29T12:40:00.000+04:00",
"2023-10-29T22:44:00.000+04:00",
"2023-10-30T08:48:00.000+04:00",
"2023-10-30T18:52:00.000+04:00",
"2023-10-31T04:56:00.000+04:00",
"2023-10-31T15:00:00.000+04:00",
"2023-11-01T01:04:00.000+04:00",
"2023-11-01T11:08:00.000+04:00",
"2023-11-01T21:12:00.000+04:00",
"2023-11-02T07:16:00.000+04:00",
"2023-11-02T17:20:00.000+04:00",
"2023-11-03T03:24:00.000+04:00",
"2023-11-03T13:28:00.000+04:00",
"2023-11-03T23:32:00.000+04:00",
"2023-11-04T09:36:00.000+04:00",
"2023-11-04T19:40:00.000+04:00",
"2023-11-05T05:44:00.000+04:00",
"2023-11-05T15:48:00.000+04:00",
"2023-11-06T01:52:00.000+04:00",
"2023-11-06T11:56:00.000+04:00",
"2023-11-06T22:00:00.000+04:00",
"2023-11-07T08:04:00.000+04:00",
"2023-11-07T18:08:00.000+04:00",
"2023-11-08T04:12:00.000+04:00",
"2023-11-08T14:16:00.000+04:00",
"2023-11-09T00:20:00.000+04:00",
"2023-11-09T10:24:00.000+04:00",
"2023-11-09T20:28:00.000+04:00",
"2023-11-10T06:32:00.000+04:00",
"2023-11-10T16:36:00.000+04:00",
"2023-11-11T02:40:00.000+04:00",
"2023-11-11T12:44:00.000+04:00",
"2023-11-11T22:48:00.000+04:00",
"2023-11-12T08:52:00.000+04:00",
"2023-11-12T18:56:00.000+04:00",
"2023-11-13T05:00:00.000+04:00",
"2023-11-13T15:04:00.000+04:00",
"2023-11-14T01:08:00.000+04:00",
"2023-11-14T11:12:00.000+04:00",
"2023-11-14T21:16:00.000+04:00",
"2023-11-15T07:20:00.000+04:00",
"2023-11-15T17:24:00.000+04:00",
"2023-11-16T03:28:00.000+04:00",
"2023-11-16T13:32:00.000+04:00",
"2023-11-16T23:36:00.000+04:00",
"2023-11-17T09:40:00.000+04:00",
"2023-11-17T19:44:00.000+04:00",
"2023-11-18T05:48:00.000+04:00",
"2023-11-18T15:52:00.000+04:00",
"2023-11-19T01:56:00.000+04:00",
"2023-11-19T12:00:00.000+04:00",
"2023-11-19T22:04:00.000+04:00",
"2023-11-20T08:08:00.000+04:00",
"2023-11-20T18:12:00.000+04:00",
"2023-11-21T04:16:00.000+04:00",
"2023-11-21T14:20:00.000+04:00",
"2023-11-22T00:24:00.000+04:00",
"2023-11-22T10:28:00.000+04:00",
"2023-11-22T20:32:00.000+04:00",
"2023-11-23T06:36:00.000+04:00",
"2023-11-23T16:40:00.000+04:00",
"2023-11-24T02:44:00.000+04:00",
"2023-11-24T12:48:00.000+04:00",
"2023-11-24T22:52:00.000+04:00",
"2023-11-25T08:56:00.000+04:00",
"2023-11-25T19:00:00.000+04:00",
"2023-11-26T05:04:00.000+04:00",
"2023-11-26T15:08:00.000+04:00",
"2023-11-27T01:12:00.000+04:00",
"2023-11-27T11:16:00.000+04:00",
"2023-11-27T21:20:00.000+04:00",
"2023-11-28T07:24:00.000+04:00",
"2023-11-28T17:28:00.000+04:00",
"2023-11-29T03:32:00.000+04:00",
"2023-11-29T13:36:00.000+04:00",
"2023-11-29T23:40:00.000+04:00",
"2023-11-30T09:44:00.000+04:00",
"2023-11-30T19:48:00.000+04:00",
"2023-12-01T05:52:00.000+04:00",
"2023-12-01T15:56:00.000+04:00",
"2023-12-02T02:00:00.000+04:00",
"2023-12-02T12:04:00.000+04:00",
"2023-12-02T22:08:00.000+04:00",
"2023-12-03T08:12:00.000+04:00",
"2023-12-03T18:16:00.000+04:00",
"2023-12-04T04:20:00.000+04:00",
"2023-12-04T14:24:00.000+04:00",
"2023-12-05T00:28:00.000+04:00",
"2023-12-05T10:32:00.000+04:00",
"2023-12-05T20:36:00.000+04:00",
"2023-12-06T06:40:00.000+04:00",
"2023-12-06T16:44:00.000+04:00",
"2023-12-07T02:48:00.000+04:00",
"2023-12-07T12:52:00.000+04:00",
"2023-12-07T22:56:00.000+04:00",
"2023-12-08T09:00:00.000+04:00",
"2023-12-08T19:04:00.000+04:00",
"2023-12-09T05:08:00.000+04:00",
"2023-12-09T15:12:00.000+04:00",
"2023-12-10T01:16:00.000+04:00",
"2023-12-10T11:20:00.000+04:00",
"2023-12-10T21:24:00.000+04:00",
"2023-12-11T07:28:00.000+04:00",
"2023-12-11T17:32:00.000+04:00",
"2023-12-12T03:36:00.000+04:00",
"2023-12-12T13:40:00.000+04:00",
"2023-12-12T23:44:00.000+04:00",
"2023-12-13T09:48:00.000+04:00","21.46"
"2023-12-13T19:52:00.000+04:00","21.06774193548388"
"2023-12-14T05:56:00.000+04:00","21.536363636363635"
"2023-12-14T16:00:00.000+04:00","21.36363636363636"
"2023-12-15T02:04:00.000+04:00","21.45909090909091"
"2023-12-15T12:08:00.000+04:00","21.705555555555556"
"2023-12-15T22:12:00.000+04:00","21.710526315789473"
"2023-12-16T08:16:00.000+04:00","21.861111111111107"
"2023-12-16T18:20:00.000+04:00","21.8625"
"2023-12-17T04:24:00.000+04:00","21.885714285714283"
"2023-12-17T14:28:00.000+04:00","20.786956521739132"
"2023-12-18T00:32:00.000+04:00","20.535714285714285"
"2023-12-18T10:36:00.000+04:00","21.8551724137931"
"2023-12-18T20:40:00.000+04:00","21.414285714285715"
"2023-12-19T06:44:00.000+04:00","21.678260869565214"
"2023-12-19T16:48:00.000+04:00","21.40689655172413"
"2023-12-20T02:52:00.000+04:00","21.44545454545455"
"2023-12-20T12:56:00.000+04:00","21.539999999999996"
"2023-12-20T23:00:00.000+04:00","21.316"
"2023-12-21T09:04:00.000+04:00","21.396"
"2023-12-21T19:08:00.000+04:00","21.700000000000003"
"2023-12-22T05:12:00.000+04:00","21.952941176470592"
"2023-12-22T15:16:00.000+04:00","22.25"
"2023-12-23T01:20:00.000+04:00","22.224999999999998"
"2023-12-23T11:24:00.000+04:00","22.615384615384617"
"2023-12-23T21:28:00.000+04:00","22.535714285714285"
"2023-12-24T07:32:00.000+04:00","22.810526315789474"
"2023-12-24T17:36:00.000+04:00","22.9"
"2023-12-25T03:40:00.000+04:00","22.973333333333336"
"2023-12-25T13:44:00.000+04:00","22.242307692307694"
"2023-12-25T23:48:00.000+04:00","20.68888888888889"
"2023-12-26T09:52:00.000+04:00","21.53076923076923"
"2023-12-26T19:56:00.000+04:00","21.308333333333326"
"2023-12-27T06:00:00.000+04:00","21.335"
"2023-12-27T16:04:00.000+04:00","20.95294117647059"
"2023-12-28T02:08:00.000+04:00","21.385714285714283"
"2023-12-28T12:12:00.000+04:00","21.026666666666664"
"2023-12-28T22:16:00.000+04:00","21.609090909090906"
"2023-12-29T08:20:00.000+04:00","22.152631578947364"
"2023-12-29T18:24:00.000+04:00","22.5375"
"2023-12-30T04:28:00.000+04:00","22.62666666666666"
"2023-12-30T14:32:00.000+04:00","23.05454545454546"
"2023-12-31T00:36:00.000+04:00","23.05"
"2023-12-31T10:40:00.000+04:00","23.294117647058822"
"2023-12-31T20:44:00.000+04:00","23.32857142857143"
"2024-01-01T06:48:00.000+04:00","23.315384615384616"
"2024-01-01T16:52:00.000+04:00","22.74"
"2024-01-02T02:56:00.000+04:00","23.012000000000004"
"2024-01-02T13:00:00.000+04:00","21.444444444444443"
"2024-01-02T23:04:00.000+04:00","20.680000000000003"
"2024-01-03T09:08:00.000+04:00","21.528571428571425"
"2024-01-03T19:12:00.000+04:00","21.900000000000002"
"2024-01-04T05:16:00.000+04:00","22.510526315789473"
"2024-01-04T15:20:00.000+04:00","22.669999999999998"
"2024-01-05T01:24:00.000+04:00","22.542105263157897"
"2024-01-05T11:28:00.000+04:00","22.88571428571429"
"2024-01-05T21:32:00.000+04:00","22.772727272727273"
"2024-01-06T07:36:00.000+04:00","22.88095238095238"
"2024-01-06T17:40:00.000+04:00","22.845454545454547"
"2024-01-07T03:44:00.000+04:00","21.815384615384616"
"2024-01-07T13:48:00.000+04:00","20.165384615384614"
"2024-01-07T23:52:00.000+04:00","20.893750000000004"
"2024-01-08T09:56:00.000+04:00","21.837931034482754"
"2024-01-08T20:00:00.000+04:00","21.729411764705883"
"2024-01-09T06:04:00.000+04:00","22.008695652173916"
"2024-01-09T16:08:00.000+04:00","21.48076923076923"
"2024-01-10T02:12:00.000+04:00","21.650000000000002"
"2024-01-10T12:16:00.000+04:00","22.295454545454547"
"2024-01-10T22:20:00.000+04:00","22.01052631578947"
"2024-01-11T08:24:00.000+04:00","22.605882352941176"
"2024-01-11T18:28:00.000+04:00","22.406666666666673"
"2024-01-12T04:32:00.000+04:00","22.193333333333328"
"2024-01-12T14:36:00.000+04:00","22.330000000000002"
"2024-01-13T00:40:00.000+04:00","22.12272727272728"
"2024-01-13T10:44:00.000+04:00","22.304761904761904"
"2024-01-13T20:48:00.000+04:00","22.24"
"2024-01-14T06:52:00.000+04:00","22.11052631578947"
"2024-01-14T16:56:00.000+04:00","20.17307692307692"
"2024-01-15T03:00:00.000+04:00","21.057692307692314"
"2024-01-15T13:04:00.000+04:00","22.110000000000003"
"2024-01-15T23:08:00.000+04:00","22.004761904761903"
"2024-01-16T09:12:00.000+04:00","21.133333333333333"
"2024-01-16T19:16:00.000+04:00","21.345"
"2024-01-17T05:20:00.000+04:00","21.38076923076923"
"2024-01-17T15:24:00.000+04:00","21.29629629629629"
"2024-01-18T01:28:00.000+04:00","21.365384615384617"
"2024-01-18T11:32:00.000+04:00","21.55454545454546"
"2024-01-18T21:36:00.000+04:00","21.72142857142857"
"2024-01-19T07:40:00.000+04:00","21.956521739130437"
"2024-01-19T17:44:00.000+04:00","21.873913043478257"
"2024-01-20T03:48:00.000+04:00","21.833333333333332"
"2024-01-20T13:52:00.000+04:00","21.760714285714283"
"2024-01-20T23:56:00.000+04:00","21.858823529411765"
"2024-01-21T10:00:00.000+04:00","21.61923076923077"
"2024-01-21T20:04:00.000+04:00","21.083333333333336"
"2024-01-22T06:08:00.000+04:00","21.65909090909091"
"2024-01-22T16:12:00.000+04:00","22.204545454545457"
"2024-01-23T02:16:00.000+04:00","22.23333333333333"
"2024-01-23T12:20:00.000+04:00","22.233333333333334"
"2024-01-23T22:24:00.000+04:00","21.758823529411764"
"2024-01-24T08:28:00.000+04:00","22.114285714285714"
"2024-01-24T18:32:00.000+04:00","21.780000000000005"
"2024-01-25T04:36:00.000+04:00","21.845833333333335"
"2024-01-25T14:40:00.000+04:00","21.842857142857145"
"2024-01-26T00:44:00.000+04:00","21.861538461538466"
"2024-01-26T10:48:00.000+04:00","22.22608695652174"
"2024-01-26T20:52:00.000+04:00","22.13333333333333"
"2024-01-27T06:56:00.000+04:00","21.972"
"2024-01-27T17:00:00.000+04:00","22.124999999999996"
"2024-01-28T03:04:00.000+04:00","22.13913043478261"
"2024-01-28T13:08:00.000+04:00","20.799999999999997"
"2024-01-28T23:12:00.000+04:00","20.729166666666668"
"2024-01-29T09:16:00.000+04:00","21.492307692307694"
"2024-01-29T19:20:00.000+04:00","21.342857142857138"
"2024-01-30T05:24:00.000+04:00","21.46666666666667"
"2024-01-30T15:28:00.000+04:00",
"2024-01-31T01:32:00.000+04:00","21.771428571428572"
"2024-01-31T11:36:00.000+04:00","21.49230769230769"
"2024-01-31T21:40:00.000+04:00","21.478571428571428"
"2024-02-01T07:44:00.000+04:00","21.7375"
"2024-02-01T17:48:00.000+04:00","22.01764705882353"
"2024-02-02T03:52:00.000+04:00","22.336"
"2024-02-02T13:56:00.000+04:00","22.388235294117642"
"2024-02-03T00:00:00.000+04:00","22.426666666666666"
"2024-02-03T10:04:00.000+04:00","22.424999999999997"
"2024-02-03T20:08:00.000+04:00","22.339130434782607"
"2024-02-04T06:12:00.000+04:00","22.268000000000008"
"2024-02-04T16:16:00.000+04:00","21.191666666666666"
"2024-02-05T02:20:00.000+04:00","21.36190476190476"
"2024-02-05T12:24:00.000+04:00","21.554545454545448"
"2024-02-05T22:28:00.000+04:00","21.454999999999995"
"2024-02-06T08:32:00.000+04:00","21.736842105263158"
"2024-02-06T18:36:00.000+04:00","21.509999999999998"
"2024-02-07T04:40:00.000+04:00","21.664999999999996"
"2024-02-07T14:44:00.000+04:00","21.650000000000002"
"2024-02-08T00:48:00.000+04:00","21.51363636363636"
"2024-02-08T10:52:00.000+04:00","21.70714285714286"
"2024-02-08T20:56:00.000+04:00","21.629411764705882"
"2024-02-09T07:00:00.000+04:00","21.744444444444444"
"2024-02-09T17:04:00.000+04:00","21.766666666666666"
"2024-02-10T03:08:00.000+04:00","21.7"
"2024-02-10T13:12:00.000+04:00","21.72083333333333"
"2024-02-10T23:16:00.000+04:00","21.753846153846155"
"2024-02-11T09:20:00.000+04:00","21.81"
"2024-02-11T19:24:00.000+04:00","21.7625"
"2024-02-12T05:28:00.000+04:00","21.947058823529417"
"2024-02-12T15:32:00.000+04:00","22.070588235294117"
"2024-02-13T01:36:00.000+04:00","22.099999999999998"
"2024-02-13T11:40:00.000+04:00","22.665"
"2024-02-13T21:44:00.000+04:00","22.555555555555557"
"2024-02-14T07:48:00.000+04:00","22.45909090909091"
"2024-02-14T17:52:00.000+04:00","21.99166666666666"
"2024-02-15T03:56:00.000+04:00","22.176190476190477"
"2024-02-15T14:00:00.000+04:00","22.14705882352941"
"2024-02-16T00:04:00.000+04:00","21.899999999999995"
"2024-02-16T10:08:00.000+04:00","21.97058823529412"
"2024-02-16T20:12:00.000+04:00","22.28333333333333"
"2024-02-17T06:16:00.000+04:00","22.53529411764706"
"2024-02-17T16:20:00.000+04:00","22.724999999999998"
"2024-02-18T02:24:00.000+04:00","21.95263157894737"
"2024-02-18T12:28:00.000+04:00","21.76896551724138"
"2024-02-18T22:32:00.000+04:00","21.760869565217394"
"2024-02-19T08:36:00.000+04:00","21.369230769230775"
"2024-02-19T18:40:00.000+04:00","21.607142857142858"
"2024-02-20T04:44:00.000+04:00","21.5625"
"2024-02-20T14:48:00.000+04:00","21.01"
"2024-02-21T00:52:00.000+04:00","21.022727272727277"
"2024-02-21T10:56:00.000+04:00","21.203571428571433"
"2024-02-21T21:00:00.000+04:00","21.062499999999996"
"2024-02-22T07:04:00.000+04:00","21.243478260869566"
"2024-02-22T17:08:00.000+04:00","21.30526315789474"
"2024-02-23T03:12:00.000+04:00","21.317391304347826"
"2024-02-23T13:16:00.000+04:00","21.527777777777782"
"2024-02-23T23:20:00.000+04:00","21.625"
"2024-02-24T09:24:00.000+04:00","21.843749999999996"
"2024-02-24T19:28:00.000+04:00","21.941176470588232"
"2024-02-25T05:32:00.000+04:00","22.104545454545455"
"2024-02-25T15:36:00.000+04:00","22.25"
"2024-02-26T01:40:00.000+04:00","21.86086956521739"
"2024-02-26T11:44:00.000+04:00","22.024999999999995"
"2024-02-26T21:48:00.000+04:00","21.856250000000003"
"2024-02-27T07:52:00.000+04:00","22.14814814814815"
"2024-02-27T17:56:00.000+04:00","21.81764705882353"
"2024-02-28T04:00:00.000+04:00","21.978947368421053"
"2024-02-28T14:04:00.000+04:00","21.98095238095238"
"2024-02-29T00:08:00.000+04:00","21.829411764705885"
"2024-02-29T10:12:00.000+04:00","22.13"